t,c,b,roival,motion,blink,ear,exposure_fluc,quality
23068,"CHALLENGE",0,41.666666666666664,0.0014356138557170743,0,0.26592055803517683,0.11751302083334281,1
23095,"CHALLENGE",0,41.666666666666664,0.004887362653015716,0,0.27830347282962486,0,1
23130,"CHALLENGE",0,41.22222222222222,0.003721688078682072,1,0.2435125330487799,0.08463541666665719,1
23174,"CHALLENGE",0,41.44444444444444,0.003911316529690924,0,0.2775505975663247,0.025390625,1
23210,"CHALLENGE",0,42.666666666666664,0.004125970842577299,1,0.24313171420402996,0.0849609375,1
23253,"CHALLENGE",0,43.22222222222222,0.00279387960803637,0,0.27743321120836373,0.013346354166657193,1
23275,"CHALLENGE",0,43.22222222222222,0.002934723645023435,0,0.28163300259176305,0,1
23296,"CHALLENGE",0,43.22222222222222,0.002544689759367974,1,0.24928988605490773,0,1
23319,"CHALLENGE",0,42,0.0018420922854242739,0,0.2710971516276968,0.2708333333333428,1
23346,"CHALLENGE",0,44.111111111111114,0.005080754402601688,0,0.27706276983685885,0.0185546875,1
23374,"CHALLENGE",0,42.111111111111114,0.0026247967861170326,1,0.2382583570589472,0,1
23403,"CHALLENGE",0,42.44444444444444,0.0017340258952020442,0,0.2786960793779115,0.005208333333342807,1
23438,"CHALLENGE",0,43.22222222222222,0.001963713783306264,0,0.26220724335896434,0.040364583333314386,1
23465,"CHALLENGE",0,43.44444444444444,0.0009102569260173934,1,0.2397653256681055,0.0283203125,1
23487,"CHALLENGE",0,43.44444444444444,0.0017420563018245457,0,0.27341591149029215,0,1
23513,"CHALLENGE",0,42.888888888888886,0.0006898907263201381,0,0.26120159551584116,0.126953125,1
23537,"CHALLENGE",0,43.888888888888886,0.006107286104934076,0,0.28943933270378214,0.09537760416665719,1
23558,"CHALLENGE",0,43.888888888888886,0.003601526501855626,1,0.2424002535748639,0,1
23581,"CHALLENGE",0,43.888888888888886,0.0020692390939648303,0,0.27405258109548847,0.010416666666657193,1
23606,"CHALLENGE",0,43.888888888888886,0.00025569157414958237,0,0.25712796912799973,0,1
23629,"CHALLENGE",0,43.888888888888886,0.0005233724169689297,0,0.2601386333602132,0,1
23652,"CHALLENGE",0,43.888888888888886,0.00021663946696828373,0,0.25782627618138587,0.06380208333331439,1
23679,"CHALLENGE",0,43.888888888888886,0.0020724684710890237,1,0.2412545605679092,0,1
23707,"CHALLENGE",0,43.333333333333336,0.0010383763349353502,0,0.25942898965042693,0.026041666666685614,1
23736,"CHALLENGE",0,43.666666666666664,0.0008070015493958561,1,0.2486891150054783,0.008138020833342807,1
23762,"CHALLENGE",0,44.111111111111114,0.001437128045044563,0,0.25712244207814716,0.03938802083334281,1
23783,"CHALLENGE",0,43.44444444444444,0.0014480112315256586,0,0.26959617121942286,0.054036458333314386,1
23811,"CHALLENGE",0,43.44444444444444,0.00048189740082677364,0,0.27462922673523865,0,1
23832,"CHALLENGE",0,43.44444444444444,0.0008675523206961278,0,0.25663817813106016,0,1
23867,"CHALLENGE",0,43.333333333333336,0.0005224326305598213,0,0.25713419834393886,0.2750651041666572,1
23899,"CHALLENGE",0,44.22222222222222,0.002106979645665521,1,0.24136915083715876,0.04915364583334281,1
23926,"CHALLENGE",0,44.22222222222222,0.0006240202042183855,1,0.2400791448237484,0,1
23961,"CHALLENGE",0,44.666666666666664,0.000716494572700697,0,0.2559794270314704,0.06705729166665719,1
23994,"CHALLENGE",0,44.333333333333336,0.0030141235995247264,0,0.28220056700904306,0.08821614583334281,1
24027,"CHALLENGE",0,43.888888888888886,0.0014401651637029787,0,0.270243648910584,0.11360677083331439,1
24051,"CHALLENGE",0,43.44444444444444,0.0011227980704906963,0,0.2819341634153233,0.04817708333334281,1
24073,"CHALLENGE",0,43.44444444444444,0.0010930050487871143,0,0.2776402099557531,0,1
24104,"CHALLENGE",0,43.666666666666664,0.00031630563698905624,0,0.2558907077319338,0.0026041666666571928,1
24134,"CHALLENGE",0,43,0.0009594164549622388,0,0.27382915570983907,0.03125,1
24166,"CHALLENGE",0,43,0.00008739024792559355,0,0.2619473333628596,0.017578125,1
24195,"CHALLENGE",0,43,0.0017054531200162131,0,0.27564301725634743,0.1666666666666572,1
24216,"CHALLENGE",0,43,0.003944521002337229,0,0.2813712977661769,0,1
24243,"CHALLENGE",0,43.333333333333336,0.0004032034649477947,1,0.24659120978964194,0.35546875,1
24269,"CHALLENGE",0,43.333333333333336,0.006645924803651115,0,0.3092648193834298,0,1
24304,"CHALLENGE",0,43.55555555555556,0.0014539231603184488,0,0.25830087289250137,0.11393229166665719,1
24325,"CHALLENGE",0,43.22222222222222,0.0009906113935126417,0,0.29351374748958015,0.053385416666685614,1
24355,"CHALLENGE",0,43.44444444444444,0.0006373541416203995,0,0.2502552682929887,0.0042317708333143855,1
24385,"CHALLENGE",0,43.44444444444444,0.0009444691674473359,0,0.2806948400049568,0.08365885416668561,1
24406,"CHALLENGE",0,43.44444444444444,0.001882376612818588,0,0.28550026499454517,0,1
24428,"CHALLENGE",0,43.44444444444444,0.0005706069449079276,0,0.2689101204121771,0,1
24455,"CHALLENGE",0,42.77777777777778,0.000746548080634684,0,0.2814462024892216,0.2578125,1
24487,"CHALLENGE",0,44.44444444444444,0.00641917348485283,0,0.27137702723547313,0,1
24516,"CHALLENGE",0,44,0.002751254643772909,1,0.23263789801026566,0.24153645833331439,1
24548,"CHALLENGE",0,43.44444444444444,0.004195268969900815,1,0.24937501040009707,0.08235677083334281,1
24573,"CHALLENGE",0,43.44444444444444,0.0009224896472006642,1,0.218658628192636,0,1
24604,"CHALLENGE",0,43.111111111111114,0.00022698804194784674,0,0.26820163746552217,0.0908203125,1
24624,"CHALLENGE",0,43.111111111111114,0.0021939519706444545,0,0.2583090652761389,0,1
24648,"CHALLENGE",0,42.55555555555556,0.0004208750189762764,0,0.2736471086143535,0.4446614583333286,1
24671,"CHALLENGE",0,42.55555555555556,0.009645704153021992,0,0.26471296779540215,0,1
