type,id,condition,time
"START",0,"CHALLENGE",29414
"END",0,,47051
"START",1,"THREAT",50589
"END",1,,73231
"START",2,"THREAT",80278
"END",2,,100008
"START",3,"NEUTRAL",107771
"END",3,,126795
"START",4,"NEUTRAL",130877
"END",4,,150513
"START",5,"CHALLENGE",153940
"END",5,,175718
