type,id,condition,time
"START",0,"NEUTRAL",21090
"END",0,,39626
"START",1,"CHALLENGE",48882
"END",1,,66538
"START",2,"THREAT",76269
"END",2,,97077
"START",3,"THREAT",102206
"END",3,,121476
"START",4,"CHALLENGE",128020
"END",4,,159997
"START",5,"NEUTRAL",169835
"END",5,,190607
