t,c,b,roival,motion,blink,ear,exposure_fluc,quality
12935,"NEUTRAL",0,45.55555555555556,0.004746709940366457,0,0.282674879100884,0,1
12961,"NEUTRAL",0,44.666666666666664,0.0018282323201017456,0,0.29068423717846537,0.029622395833314386,1
13005,"NEUTRAL",0,45.111111111111114,0.0014279671993326492,0,0.28734648427849147,0.0859375,1
13035,"NEUTRAL",0,45.111111111111114,0.002362277866956712,0,0.2834834521868888,0,1
13059,"NEUTRAL",0,45.111111111111114,0.0015527059798426106,0,0.2894615576778347,0,1
13092,"NEUTRAL",0,44.111111111111114,0.00017946367632558471,0,0.29043593022821684,0.027018229166657193,1
13129,"NEUTRAL",0,43.333333333333336,0.003955674678424719,0,0.2806308834328174,0.05338541666665719,1
13156,"NEUTRAL",0,43.333333333333336,0.0017301174431858851,0,0.2851926858805707,0,1
13198,"NEUTRAL",0,44.44444444444444,0.00024325943695167667,0,0.2831672349252183,0.1103515625,1
13232,"NEUTRAL",0,45,0.004678207962698709,0,0.27485525564682267,0,1
13255,"NEUTRAL",0,45,0.0022592019494347784,0,0.28540331774084365,0,1
13278,"NEUTRAL",0,44.666666666666664,0.003947751479768056,0,0.26102066157674625,0.23600260416668561,1
13311,"NEUTRAL",0,43.333333333333336,0.00131574413888865,0,0.2901550161886704,0.10970052083331439,1
13338,"NEUTRAL",0,42.55555555555556,0.0011398093361947256,0,0.2875828444223332,0.08723958333334281,1
13367,"NEUTRAL",0,42.55555555555556,0.0019895604412533178,0,0.28605240933576265,0,1
13394,"NEUTRAL",0,42.55555555555556,0.0005120908973574284,0,0.28312743859711814,0,1
13427,"NEUTRAL",0,43.77777777777778,0.0013432468535228552,0,0.28183627413940027,0.027994791666657193,1
13469,"NEUTRAL",0,44.333333333333336,0.003358570359270592,0,0.25781068074810665,0.0107421875,1
13512,"NEUTRAL",0,43.77777777777778,0.0024895691832816174,0,0.29127268609947676,0.12239583333334281,1
13552,"NEUTRAL",0,42.666666666666664,0.00322811053299851,0,0.29192560218236346,0.0654296875,1
13577,"NEUTRAL",0,42.666666666666664,0.0012351785327438173,0,0.302195037367111,0,1
13610,"NEUTRAL",0,42.111111111111114,0.00034666178745250886,0,0.3011764727342874,0.0013020833333428072,1
13641,"NEUTRAL",0,43,0.0022244695057660564,0,0.3032579864817212,0.05436197916665719,1
13674,"NEUTRAL",0,43.111111111111114,0.0014688734726977194,0,0.3006647814860692,0.06380208333334281,1
13703,"NEUTRAL",0,46.55555555555556,0.0017056856534244406,0,0.30795516111606624,0,1
13724,"NEUTRAL",0,46.55555555555556,0.001118619073600219,0,0.3109420327219743,0,1
13756,"NEUTRAL",0,46.22222222222222,0.00040298936599436055,0,0.29942587135726817,0.06119791666665719,1
13790,"NEUTRAL",0,45,0.005141445360830521,0,0.3026451998023701,0.12076822916665719,1
13829,"NEUTRAL",0,44.666666666666664,0.0010196526042682375,0,0.3103848208358159,0.15201822916668561,1
13861,"NEUTRAL",0,44.666666666666664,0.0036766404402615877,0,0.3064741235310381,0,1
13915,"NEUTRAL",0,44.111111111111114,0.001246526762445008,0,0.30321801778987106,0.328125,1
13944,"NEUTRAL",0,47.666666666666664,0.010456714725021413,0,0.2963977872179627,0,1
13970,"NEUTRAL",0,43.888888888888886,0.004553136580210197,0,0.302628747798014,0.08919270833334281,1
14016,"NEUTRAL",0,43.333333333333336,0.005341726991287657,0,0.2966394779158577,0.03255208333334281,1
14051,"NEUTRAL",0,43.55555555555556,0.0014731304500345968,0,0.2958504469548421,0.0537109375,1
14080,"NEUTRAL",0,43.55555555555556,0.0025370335178353533,0,0.2764333674286637,0,1
14114,"NEUTRAL",0,44,0.000545468587412737,0,0.2792047531634705,0.025716145833314386,1
14149,"NEUTRAL",0,43.888888888888886,0.0016726150637940023,0,0.26688568576694216,0.042317708333314386,1
14183,"NEUTRAL",0,43.888888888888886,0.0017389979406453075,0,0.2674956216023501,0,1
14217,"NEUTRAL",0,44.333333333333336,0.0007866225592706987,0,0.26843447573903345,0.03125,1
14260,"NEUTRAL",0,44.44444444444444,0.001065549100541671,0,0.27617036444599713,0.09700520833334281,1
14289,"NEUTRAL",0,44.44444444444444,0.001168745318590085,0,0.25898929159669354,0,1
14342,"NEUTRAL",0,44.333333333333336,0.0005675691673760603,0,0.2665446500536268,0.033203125,1
14366,"NEUTRAL",0,47,0.0020138863720201346,0,0.25882787442439875,0.03971354166665719,1
14396,"NEUTRAL",0,46.77777777777778,0.0036573309849475344,0,0.2755805729203914,0.0009765625,1
14430,"NEUTRAL",0,44.77777777777778,0.001383142277541756,0,0.2733970693721004,0.039388020833314386,1
14495,"NEUTRAL",0,45.333333333333336,0.002339796391439166,0,0.29314335826869226,0.09993489583334281,1
14555,"NEUTRAL",0,44.77777777777778,0.0037346279595650627,0,0.28926110971962726,0.05631510416665719,1
14625,"NEUTRAL",0,45.22222222222222,0.0022605979824713877,0,0.2906774117741667,0.1741536458333428,1
14658,"NEUTRAL",0,45.22222222222222,0.004644789008612383,0,0.29323155415125324,0,1
14691,"NEUTRAL",0,44.888888888888886,0.0008538099292284366,0,0.2941083509365594,0.06022135416665719,1
14714,"NEUTRAL",0,44.888888888888886,0.0028158016990363624,0,0.286093984724578,0,1
14745,"NEUTRAL",0,44.55555555555556,0.00008276982208566016,0,0.29426595954136425,0.013020833333342807,1
14767,"NEUTRAL",0,44.22222222222222,0.0016630496636889799,0,0.3025981785776463,0.03678385416665719,1
14797,"NEUTRAL",0,44.666666666666664,0.0019045938774732165,0,0.3075576472439836,0.020182291666685614,1
14824,"NEUTRAL",0,44.666666666666664,0.00028949063536858185,0,0.30261623672361804,0,1
14845,"NEUTRAL",0,44.666666666666664,0.0007663913677087908,0,0.29917023680290866,0,1
14880,"NEUTRAL",0,44.666666666666664,0.00023933759531990842,0,0.29854894947641214,0.0146484375,1
14905,"NEUTRAL",0,44.666666666666664,0.002042171985516754,0,0.3040961954508111,0,1
14929,"NEUTRAL",0,44.666666666666664,0.0005963308996708551,0,0.30048285296047267,0,1
14963,"NEUTRAL",0,45.55555555555556,0.000029132284619649343,0,0.30568751508089004,0.111328125,1
14999,"NEUTRAL",0,45.666666666666664,0.0010924179159436877,0,0.3027764568455363,0.04720052083334281,1
15031,"NEUTRAL",0,45.55555555555556,0.0008018147703294048,0,0.2981233283173489,0.09016927083334281,1
15065,"NEUTRAL",0,45.44444444444444,0.0008476520902013015,0,0.3106929032935073,0.0078125,1
15096,"NEUTRAL",0,48.55555555555556,0.0037389157259608984,0,0.31603581837557815,0.022786458333314386,1
15120,"NEUTRAL",0,45.77777777777778,0.002048931056691244,0,0.3180535786086554,0,1
15153,"NEUTRAL",0,48,0.0010380310570177506,0,0.3080041448256032,0.0693359375,1
15184,"NEUTRAL",0,47.666666666666664,0.002157286685998104,0,0.3086979488588222,0.10026041666665719,1
15217,"NEUTRAL",0,47.333333333333336,0.0013993530937930678,0,0.30764152769009867,0.04817708333334281,1
15259,"NEUTRAL",0,47.333333333333336,0.0006436471973925242,0,0.30552297522220123,0.0732421875,1
15286,"NEUTRAL",0,47.333333333333336,0.0018811915043030307,0,0.309340936383477,0,1
15326,"NEUTRAL",0,45.666666666666664,0.0003460338758698348,0,0.3018403071613156,0.2223307291666572,1
15356,"NEUTRAL",0,45.666666666666664,0.010178491550063371,0,0.3121290515708097,0,1
15390,"NEUTRAL",0,45.111111111111114,0.0020010938915060923,0,0.301658745019194,0.1529947916666572,1
15429,"NEUTRAL",0,45.333333333333336,0.007371798958890662,1,0.09967574260224478,0.22623697916668561,1
15479,"NEUTRAL",0,46.22222222222222,0.007171068765596582,1,0.06851009368895493,0.4166666666666572,1
15531,"NEUTRAL",0,45.77777777777778,0.009273131971539584,1,0.08342640978442095,0.1256510416666572,1
15590,"NEUTRAL",0,46.22222222222222,0.003085242848521671,1,0.0800758425834411,0.00390625,1
15638,"NEUTRAL",0,46.22222222222222,0.002950055272586865,1,0.07011310892474977,0.10677083333334281,1
15665,"NEUTRAL",0,45.333333333333336,0.004669853414564548,1,0.07075131220842469,0.1858723958333428,1
15692,"NEUTRAL",0,45.333333333333336,0.004027254154546476,1,0.06364416671508812,0,1
15718,"NEUTRAL",0,45.333333333333336,0.00020172129828992897,1,0.06947691386855202,0,1
15757,"NEUTRAL",0,46.44444444444444,0.0007491009338828855,1,0.06498234952761084,0.4173177083333144,1
15795,"NEUTRAL",0,45.55555555555556,0.005132140221928435,1,0.07005504830692406,0.2395833333333428,1
15822,"NEUTRAL",0,45.55555555555556,0.0031406557922338306,1,0.06746960162603358,0,1
15858,"NEUTRAL",0,45.111111111111114,0.001900923730704101,1,0.0692870595279542,0.5992838541666572,1
15900,"NEUTRAL",0,46.111111111111114,0.005104449395052999,1,0.07007700566263239,0.5693359375,1
15937,"NEUTRAL",0,46.77777777777778,0.0016114046266151089,1,0.0716701060068806,0.2210286458333428,1
15970,"NEUTRAL",0,46.77777777777778,0.0006641393883652906,1,0.07258133762220549,0,1
15997,"NEUTRAL",0,45.666666666666664,0.0005407926004354684,1,0.07076055054480997,0.4410807291666572,1
16026,"NEUTRAL",0,45.666666666666664,0.004519507223073676,1,0.07429411624183258,0,1
