window_id,block_id,condition,start_time,end_time,frame_count,mean_roival,mean_motion,mean_ear,mean_quality,mean_exposure_fluc,mean_rt,accuracy,error_count,trial_count
"5a7ad331-1050-4c01-81fb-2e69fc583cf1",0,"THREAT",14219,24219,461,31.553868402024545,0.0012714759946677835,0.27387027594022945,1,0.07390946990238574,null,null,0,0
"4dd56aae-2625-4ce1-9c16-5ecfd4a8492f",0,"THREAT",19219,29219,516,31.87101636520244,0.0012590086961015005,0.30658338062627266,1,0.11587784641472852,null,null,0,0
"e887eb15-5914-484b-8f9b-5ed171790028",0,"THREAT",24219,34219,534,31.77548897211817,0.0009118761105790286,0.34790275019820527,1,0.08681165145131087,null,null,0,0
"c32df8e4-e11b-4b2c-a5f8-c5d1aedf3319",1,"NEUTRAL",29219,39219,450,33.51432098765432,0.0007532326923226058,0.3403534466239373,1,0.053631365740740636,null,null,0,0
"e54119a7-8356-4e13-b073-bd77a9a6834e",1,"NEUTRAL",34219,44219,461,37.242468064593886,0.0010174534367755619,0.3014109073869847,1,0.0642780075018075,null,null,0,0
"9751631c-5175-4df0-aaa7-d4257bb5686a",1,"NEUTRAL",39219,49219,569,38.38371411833636,0.0008600207224212122,0.3023797793823294,1,0.050788687207088526,null,null,0,0
"6b2edf66-9f9d-451c-80f5-bafea888c08f",1,"NEUTRAL",44219,54219,555,38.600400400400396,0.0006487444296038409,0.307799027507252,1,0.04205435904654661,null,null,0,0
"3591796c-11b0-4ee7-9226-ff91f7665add",2,"THREAT",49219,59219,445,38.19076154806491,0.0008578940838153041,0.30126885714767776,1,0.06872000819288411,null,null,0,0
"abbd6a97-4bd4-4810-873c-0a5c371a38c9",2,"THREAT",54219,64219,409,35.80847595762025,0.0012088502571509408,0.30678627982292395,1,0.12420569733088872,null,null,0,0
"9f29534a-9dbc-4908-90da-159b6e47935a",2,"THREAT",59219,69219,499,34.17523936762416,0.001146569013790778,0.29287530695820185,1,0.114897111932198,null,null,0,0
"966c4e4b-3d23-49d9-a405-3d1ad65dee23",2,"THREAT",64219,74219,533,32.61892849697724,0.0010664533328189436,0.3073436188181984,1,0.07874611573639764,null,null,0,0
"3eaef5d6-e2f6-4e63-b053-29c05ea5e505",2,"THREAT",69219,79219,523,31.685362226471174,0.0008555261763636009,0.3324715507245386,1,0.05514870638145267,null,null,0,0
"1f1eab32-5025-4d90-9ba4-23aca4224e75",3,"CHALLENGE",74219,84219,413,32.87489911218725,0.0007122446204596026,0.3346815110860343,1,0.06249054176755448,null,null,0,0
"cf716ca0-8c63-4e27-896e-95afe9e3169a",3,"CHALLENGE",79219,89219,395,35.59746835443037,0.0011492251985336774,0.2886403196236835,1,0.1121579970991561,null,null,0,0
"11d6e306-1b3c-4ca1-93ac-4866a9748172",3,"CHALLENGE",84219,94219,502,34.067729083665306,0.000991677512258119,0.28453674947554725,1,0.08551276664176574,null,null,0,0
"16895a91-a9e2-4dc4-9f2d-060bbfc4d00a",3,"CHALLENGE",89219,99219,533,31.35563894100484,0.0005594429619661086,0.30265815735208373,1,0.02795509400406433,null,null,0,0
"a895f999-8b38-4dee-82f0-f9bc165cd549",3,"CHALLENGE",94219,104219,526,30.070764681030855,0.0004913162484304766,0.3003920662795152,1,0.017928400269327543,null,null,0,0
"1c83afd7-1fd7-4b2f-8860-5ac808f65252",3,"CHALLENGE",99219,109219,457,30.907123753950867,0.0007481006265026647,0.305857745772248,1,0.05370808830233398,null,null,0,0
"d37b7261-8d47-4a0c-949f-98feb1be5842",4,"CHALLENGE",104219,114219,434,32.8187403993856,0.0010407757907072812,0.2920280975202178,1,0.09878957253264259,null,null,0,0
"b57bbf33-0520-42ee-8b7b-a36281550a3c",4,"CHALLENGE",109219,119219,490,33.568253968253984,0.0009327308473065604,0.2808243087588124,1,0.08659053465136075,null,null,0,0
"0f0139f6-8d71-43cf-bb7c-0514ff8388b3",4,"CHALLENGE",114219,124219,534,33.62442779858513,0.0008178053291966906,0.2820111455259098,1,0.06439704275905088,null,null,0,0
"e3bc620c-5b72-4e97-9aa8-06ac8f1c400f",4,"CHALLENGE",119219,129219,545,32.31824668705397,0.0006284268693448682,0.2835081585276185,1,0.03677549216360865,null,null,0,0
"2fbb9ba8-216e-42a0-98e6-51c7afa11c47",5,"NEUTRAL",124219,134219,421,32.59487991554501,0.0009830685037411893,0.2866551346734379,1,0.05005366067893966,null,null,0,0
"a9496811-2f83-4b93-92e2-181ca6ae6489",5,"NEUTRAL",129219,139219,411,32.42903487429036,0.0015111293758309535,0.2799953287108446,1,0.12104306062449335,null,null,0,0
"0c235845-c359-43f5-a715-e3d84ca03109",5,"NEUTRAL",134219,144219,517,30.360627552116902,0.0009545029864422291,0.2946157226308847,1,0.07695765836557049,null,null,0,0
"2c9146c2-ee0d-423c-9e65-17ee4670533e",5,"NEUTRAL",139219,149219,500,29.660444444444447,0.0006969424492765171,0.301655191022287,1,0.03587760416666657,null,null,0,0
"b2fbf5b5-4ade-486e-a1ca-3afce44d7101",5,"NEUTRAL",144219,154219,472,29.652306967984973,0.0009994996431520406,0.28980208292210635,1,0.08540990797139861,null,null,0,0
