type,id,condition,time
"START",0,"THREAT",17866
"END",0,,34547
"START",1,"NEUTRAL",38921
"END",1,,54298
"START",2,"THREAT",59768
"END",2,,78460
"START",3,"CHALLENGE",85889
"END",3,,105400
"START",4,"CHALLENGE",110985
"END",4,,128759
"START",5,"NEUTRAL",134954
"END",5,,152462
