t,c,b,roival,motion,blink,ear,exposure_fluc,quality
12560,"THREAT",0,31.88888888888889,0.03918745746641501,0,0.4183061276690404,0.5218098958333428,1
12590,"THREAT",0,31.77777777777778,0.0020633617148730177,0,0.3447652683519492,0.2535807291666572,1
12612,"THREAT",0,32,0.002545194847523793,0,0.36702493762262156,0.0439453125,1
12638,"THREAT",0,32,0.003782785082548964,0,0.28482469149429523,0,1
12661,"THREAT",0,33.333333333333336,0.0003450949365422095,0,0.2815367561088144,0.2848307291666572,1
12691,"THREAT",0,31.555555555555557,0.0052339405884023315,1,0.06411317800700332,0.017578125,1
12718,"THREAT",0,31.77777777777778,0.003250574098155805,1,0.06324733109454914,0.099609375,1
12738,"THREAT",0,31.77777777777778,0.002043173658394629,1,0.060503753539204945,0,1
12766,"THREAT",0,32,0.00027651967549888613,1,0.06196040702934212,0.018229166666657193,1
12786,"THREAT",0,32,0.00221496044373892,1,0.06451012045662749,0,1
12809,"THREAT",0,32,0.0006118663561285718,1,0.052650298154757844,0,1
12844,"THREAT",0,33.666666666666664,0.00046473602400147403,1,0.06201048818470298,0.2421875,1
12872,"THREAT",0,36.111111111111114,0.00372005295190715,1,0.22175282327247858,0.030598958333314386,1
12901,"THREAT",0,37.55555555555556,0.0020336964085281213,0,0.2552890027337632,0.055338541666685614,1
12933,"THREAT",0,38.333333333333336,0.0031729526416264006,0,0.2845817953375567,0.013671875,1
12956,"THREAT",0,38.333333333333336,0.0024311782300935167,0,0.309431813972072,0,1
12978,"THREAT",0,39.55555555555556,0.00034442778130874433,0,0.2990809181373293,0.1282552083333428,1
13006,"THREAT",0,29.666666666666668,0.0030006243331111055,0,0.3094333135526174,0,1
13026,"THREAT",0,29.666666666666668,0.0006109784608412983,0,0.29959698905389187,0,1
13046,"THREAT",0,31.555555555555557,0.00006508860641479219,0,0.29970357644497214,0.0166015625,1
13071,"THREAT",0,30.666666666666668,0.0002381801903546136,0,0.3052721434743277,0.08854166666665719,1
13092,"THREAT",0,30.666666666666668,0.0006541553723273355,0,0.3056879991792723,0,1
13119,"THREAT",0,30,0.0004890380397796242,0,0.3055823397962374,0.1624348958333428,1
13142,"THREAT",0,30,0.00007785628426093136,0,0.30591760775497473,0,1
13169,"THREAT",0,30.22222222222222,0.0012288523218204493,0,0.30233289878403546,0.1927083333333428,1
13198,"THREAT",0,30.22222222222222,0.00012720402415012164,0,0.3068787767271872,0.2490234375,1
13221,"THREAT",0,30,0.001137133003512971,0,0.31736932229495646,0.3424479166666572,1
13250,"THREAT",0,30,0.0006812169974342233,0,0.3130444874936426,0,1
13270,"THREAT",0,30,0.0009651511567039749,0,0.3176412076008494,0,1
13299,"THREAT",0,30,0.0007704315604384341,0,0.315415819492267,0.4768880208333428,1
13329,"THREAT",0,29.333333333333332,0.0006174223428977373,0,0.32067112945142495,0.1328125,1
13350,"THREAT",0,29.333333333333332,0.0007055851050783464,0,0.3148884429147217,0,1
13372,"THREAT",0,29.333333333333332,0.000419133797294921,0,0.3186829054433253,0,1
13401,"THREAT",0,28.77777777777778,0.00008959085706440816,0,0.31906614659539967,0.15462239583331439,1
13433,"THREAT",0,37.44444444444444,0.0036430228751222634,0,0.3479653639788095,0.0439453125,1
13463,"THREAT",0,36,0.0013609292749676965,0,0.318870488854058,0.10611979166668561,1
13484,"THREAT",0,36,0.002980961602636154,0,0.3229856420518472,0,1
13506,"THREAT",0,35.111111111111114,0.0011390300537813633,0,0.32011974388690656,0.2184244791666572,1
13532,"THREAT",0,35.111111111111114,0.004955045702502264,0,0.35519418543775466,0,1
13554,"THREAT",0,34.44444444444444,0.002695396693097113,0,0.3307936770514497,0.2718098958333428,1
13580,"THREAT",0,34.44444444444444,0.0016535082958457708,0,0.3436988004411626,0,1
13605,"THREAT",0,33,0.000683053061954921,0,0.33269862786874504,0.28515625,1
13634,"THREAT",0,31.88888888888889,0.00011637455822610704,0,0.3254468907967149,0.3294270833333428,1
13664,"THREAT",0,29.444444444444443,0.0053185168171492265,0,0.3462194395834368,1.232421875,1
13684,"THREAT",0,35.44444444444444,0.008369640745730458,0,0.3349571142568396,1.4860026041666572,1
13707,"THREAT",0,36.77777777777778,0.011976947584165587,0,0.35255135024309636,0,1
13728,"THREAT",0,36.77777777777778,0.002712693033274664,0,0.35028791026604167,0,1
13748,"THREAT",0,32.111111111111114,0.00046098014261739147,0,0.3507023433696034,1.3551432291666856,1
