type,id,condition,time
"START",0,"THREAT",17827
"END",0,,34100
"START",1,"CHALLENGE",42766
"END",1,,59163
"START",2,"NEUTRAL",65567
"END",2,,83736
"START",3,"NEUTRAL",87605
"END",3,,103858
"START",4,"THREAT",110376
"END",4,,128158
"START",5,"CHALLENGE",132038
"END",5,,150295
