type,id,condition,time
"START",0,"CHALLENGE",12525
"END",0,,31093
"START",1,"THREAT",37643
"END",1,,55391
"START",2,"NEUTRAL",62035
"END",2,,85413
"START",3,"THREAT",94869
"END",3,,114897
"START",4,"NEUTRAL",125087
"END",4,,143216
"START",5,"CHALLENGE",171403
"END",5,,192431
