t,c,b,roival,motion,blink,ear,exposure_fluc,quality
6061,"CHALLENGE",0,32.666666666666664,0.04138406326792215,0,0.380002900086692,0.4007161458333428,1
6097,"CHALLENGE",0,30.666666666666668,0.004739020161573469,0,0.3575974705848288,0.2630208333333144,1
6133,"CHALLENGE",0,30,0.00031929260214554154,0,0.3639690229252593,0.1477864583333428,1
6161,"CHALLENGE",0,30.77777777777778,0.00013819736327786008,0,0.3609859512399642,0.11165364583334281,1
6185,"CHALLENGE",0,30.77777777777778,0.0004611981174498858,0,0.3664037332658797,0,1
6210,"CHALLENGE",0,30.88888888888889,0.00015033875980476557,0,0.37296274182175476,0.06119791666665719,1
6237,"CHALLENGE",0,31.77777777777778,0.0014288368120851072,0,0.357129460083628,0.03580729166665719,1
6265,"CHALLENGE",0,31.77777777777778,0.0005548724182657671,0,0.3614194560611585,0,1
6287,"CHALLENGE",0,31.555555555555557,0.00010215130204175412,0,0.36106795173139017,0.10774739583334281,1
6316,"CHALLENGE",0,31.88888888888889,0.000417779942274288,0,0.3627864480137099,0.08072916666665719,1
6343,"CHALLENGE",0,31.88888888888889,0.0013945196673866855,0,0.3624303632942123,0,1
6368,"CHALLENGE",0,32.55555555555556,0.0006973571296344214,0,0.3573415018236774,0.050455729166685614,1
6392,"CHALLENGE",0,32.55555555555556,0.0002525907433306648,0,0.363996268055425,0,1
6416,"CHALLENGE",0,33,0.00005169564824079206,0,0.36052189332204404,0.007486979166657193,1
6446,"CHALLENGE",0,33.55555555555556,0.0013698687523359685,0,0.36475207192621883,0.04036458333334281,1
6479,"CHALLENGE",0,33.55555555555556,0.0005345100616118056,0,0.3566920355954981,0,1
6500,"CHALLENGE",0,33.55555555555556,0.0007162882708319871,0,0.3681563366279165,0,1
6532,"CHALLENGE",0,34.111111111111114,0.0001716378025252088,0,0.37104299609063573,0.0791015625,1
6564,"CHALLENGE",0,34.55555555555556,0.0009851446059696352,0,0.3684678769698262,0.0035807291666856145,1
6598,"CHALLENGE",0,34,0.0003101756304390205,0,0.3639235531834227,0.0107421875,1
6631,"CHALLENGE",0,38.55555555555556,0.0008447858235889759,0,0.3673202683773369,0.03580729166665719,1
6655,"CHALLENGE",0,38.55555555555556,0.0005907153646809408,0,0.3727233603673005,0,1
6689,"CHALLENGE",0,37.666666666666664,0.0002167332500858776,0,0.37063629459515046,0.09114583333334281,1
6714,"CHALLENGE",0,37.111111111111114,0.0005545001619128374,0,0.38688163337690407,0.023763020833314386,1
6742,"CHALLENGE",0,37.111111111111114,0.0014730530621352657,0,0.3852051961533467,0,1
6774,"CHALLENGE",0,37.111111111111114,0.0001587912596285128,0,0.38492329947602205,0.0016276041666856145,1
6805,"CHALLENGE",0,36.55555555555556,0.000255223302710653,0,0.38158012477948916,0.1376953125,1
6827,"CHALLENGE",0,36.55555555555556,0.0008983040218195371,0,0.3944130123029955,0,1
6850,"CHALLENGE",0,35.888888888888886,0.00011773426224786906,0,0.3856761715791816,0.0546875,1
6874,"CHALLENGE",0,35.888888888888886,0.0009257196017652007,0,0.38655650408989467,0,1
6896,"CHALLENGE",0,35.888888888888886,0.0001961302769001088,0,0.38774395255618654,0,1
6924,"CHALLENGE",0,36,0.0001274445992048449,0,0.3855199977665526,0.013671875,1
6946,"CHALLENGE",0,36.333333333333336,0.00034574172445114913,0,0.3839353540258349,0.044921875,1
6972,"CHALLENGE",0,36.333333333333336,0.00048326202489143866,0,0.39104061016397823,0,1
7006,"CHALLENGE",0,36,0.00045585595694780595,0,0.3814555336294616,0.1044921875,1
7034,"CHALLENGE",0,36,0.0003621946116266744,0,0.38153615567906823,0,1
7057,"CHALLENGE",0,36,0.00003091177560494031,0,0.38011459198553676,0,1
7103,"CHALLENGE",0,35,0.000026237488005285382,0,0.3802856189130335,0.026692708333342807,1
7136,"CHALLENGE",0,34.888888888888886,0.0008846153629903578,0,0.3765419759712223,0.052734375,1
7167,"CHALLENGE",0,34.77777777777778,0.00017527546199083867,0,0.37170683436067004,0.0035807291666571928,1
7199,"CHALLENGE",0,34.888888888888886,0.0005674624793853884,0,0.3715947379751914,0.06608072916665719,1
7230,"CHALLENGE",0,34.22222222222222,0.0009897639771638367,0,0.3686952217540982,0.0654296875,1
7252,"CHALLENGE",0,34.22222222222222,0.0004884058930730466,0,0.36955120167230815,0,1
7275,"CHALLENGE",0,34.44444444444444,0.0004282315023813252,0,0.36558273144063547,0.0947265625,1
7307,"CHALLENGE",0,33.55555555555556,0.0015470012705037061,0,0.3633369054943217,0.05013020833334281,1
7335,"CHALLENGE",0,33.55555555555556,0.0005201111070985298,0,0.364935594930253,0,1
7356,"CHALLENGE",0,33.55555555555556,0.00021761270520705402,0,0.36100366469751405,0,1
7386,"CHALLENGE",0,34,0.0003007602062850334,0,0.3580571200677357,0.068359375,1
7416,"CHALLENGE",0,34.333333333333336,0.0028518691077952375,0,0.3563333169580302,0.020833333333342807,1
7447,"CHALLENGE",0,34.22222222222222,0.0025149113913834438,0,0.34366589592927765,0.0166015625,1
7478,"CHALLENGE",0,34.44444444444444,0.0012723377552207418,0,0.3431891327860689,0.05533854166665719,1
7501,"CHALLENGE",0,34.44444444444444,0.0017659334029994241,0,0.35035610194789496,0,1
7531,"CHALLENGE",0,35.333333333333336,0.00009213044652237065,0,0.3481224757029664,0.017903645833314386,1
7564,"CHALLENGE",0,35.666666666666664,0.0009302713584032476,0,0.3442597996763825,0.0126953125,1
7598,"CHALLENGE",0,36.111111111111114,0.0010010101148209992,0,0.34775500609445376,0.1507161458333428,1
7623,"CHALLENGE",0,36.111111111111114,0.0030137855868484394,0,0.3493827996358319,0,1
7647,"CHALLENGE",0,35.77777777777778,0.0006661568723218235,0,0.34148401622995783,0.2526041666666572,1
7678,"CHALLENGE",0,38.333333333333336,0.00627866149368194,0,0.32354883039068844,0.06575520833331439,1
7708,"CHALLENGE",0,38.333333333333336,0.0011489605442134097,1,0.10283585081913295,0,1
7730,"CHALLENGE",0,38.333333333333336,0.0006753739911859227,1,0.09329273941667324,0,1
7765,"CHALLENGE",0,40.666666666666664,0.00038334738755960266,1,0.09366514536474488,1.2083333333333144,1
7801,"CHALLENGE",0,34.77777777777778,0.014283091114247347,1,0.1033129995054139,1.6220703125,1
7823,"CHALLENGE",0,34.77777777777778,0.009735583775331149,1,0.15618333516977373,0,1
7852,"CHALLENGE",0,34.888888888888886,0.0042614368498170435,1,0.16326093164074498,4.856770833333343,1
7874,"CHALLENGE",0,38.77777777777778,0.03179603603336308,1,0.20014333963235756,1.6070963541666572,1
7899,"CHALLENGE",0,43.55555555555556,0.0030063236715132586,1,0.2327677933123458,0,1
7929,"CHALLENGE",0,42.22222222222222,0.0004972887205843702,1,0.21958864148664145,0.5830078125,1
7952,"CHALLENGE",0,42.44444444444444,0.0015738587039942039,1,0.21857506616012554,0.18880208333331439,1
7982,"CHALLENGE",0,42.888888888888886,0.001190995322043062,1,0.1967535577058346,0.4742838541666856,1
8030,"CHALLENGE",0,43.22222222222222,0.001582878118023756,1,0.19683588933336119,0.5983072916666572,1
8066,"CHALLENGE",0,39,0.005772137708946299,1,0.19111051749491945,0.4270833333333428,1
8091,"CHALLENGE",0,39,0.0026880707400176655,1,0.1867519198348831,0,1
8127,"CHALLENGE",0,37.55555555555556,0.001207875420060941,1,0.21644500201975106,0.019856770833314386,1
8168,"CHALLENGE",0,37.111111111111114,0.0053739767431922394,1,0.20056080696690443,0.027018229166685614,1
8192,"CHALLENGE",0,37.111111111111114,0.0045649421450557415,1,0.24425123330857196,0,1
8228,"CHALLENGE",0,33.55555555555556,0.000496844487180012,1,0.21112974766906056,0.3948567708333144,1
8260,"CHALLENGE",0,33.44444444444444,0.004720109493007804,1,0.19959837263701768,0.18229166666668561,1
8291,"CHALLENGE",0,33.44444444444444,0.0008571550883051006,1,0.24544523087592082,0,1
8319,"CHALLENGE",0,33.111111111111114,0.001031184874915602,1,0.22566245373604654,1.0260416666666572,1
8351,"CHALLENGE",0,29.77777777777778,0.006941243742934066,0,0.27783728872432734,1.4524739583333428,1
8380,"CHALLENGE",0,39.666666666666664,0.008568925237752257,1,0.1789685744799797,0,1
8404,"CHALLENGE",0,39.666666666666664,0.0010388356332432626,1,0.19707320456451347,0,1
8443,"CHALLENGE",0,41.55555555555556,0.0005367550597552278,1,0.20084895263190983,2.7737630208333144,1
8471,"CHALLENGE",0,32.55555555555556,0.01381847228313693,1,0.19179011942729646,0,1
8498,"CHALLENGE",0,31,0.002198765985972044,1,0.23879933698233147,0.2620442708333144,1
8532,"CHALLENGE",0,31.666666666666668,0.0010353778317702036,1,0.21121028419110593,0.580078125,1
8562,"CHALLENGE",0,31.666666666666668,0.0010402737043127591,1,0.24915940662229788,0,1
8598,"CHALLENGE",0,33,0.00003204990024869951,0,0.2649632395561342,0.18522135416668561,1
8623,"CHALLENGE",0,33,0.00316688821616788,1,0.23904344498474672,0,1
8655,"CHALLENGE",0,35.333333333333336,0.0001607343769379488,1,0.2349280564177682,1.4892578125,1
8692,"CHALLENGE",0,36.44444444444444,0.006762846876710679,1,0.21927337754153609,0.2672526041666856,1
8720,"CHALLENGE",0,37.333333333333336,0.002593188578332961,1,0.22892763092629048,0.0006510416666856145,1
8750,"CHALLENGE",0,37.333333333333336,0.0009941230254896574,1,0.2109656348125223,0.3076171875,1
8779,"CHALLENGE",0,37.333333333333336,0.00029322157114640304,1,0.21525934721787193,0,1
8802,"CHALLENGE",0,37.333333333333336,0.000572834825760673,1,0.23597957152941437,0,1
8834,"CHALLENGE",0,37.333333333333336,0.00010977725804109637,1,0.24224294302835248,0.9222005208333144,1
8865,"CHALLENGE",0,37.55555555555556,0.0016804425038286386,1,0.08006390757964107,0.2509765625,1
8897,"CHALLENGE",0,37.888888888888886,0.00287949236325034,1,0.10340035980290908,0.017578125,1
8921,"CHALLENGE",0,35.888888888888886,0.004931667722954593,1,0.08226780621885292,0,1
8954,"CHALLENGE",0,36.22222222222222,0.0017233326093902951,1,0.09200177993391508,1.0149739583333144,1
8977,"CHALLENGE",0,36.888888888888886,0.01275790555363754,1,0.08042832800969668,0.20768229166668561,1
9017,"CHALLENGE",0,37.77777777777778,0.003268604875236913,1,0.08967806153048422,0.033203125,1
9041,"CHALLENGE",0,37.77777777777778,0.0010000296776673122,1,0.1482530754688986,0,1
9066,"CHALLENGE",0,36.77777777777778,0.0011306169084759627,1,0.14674338832265413,0.708984375,1
9092,"CHALLENGE",0,36.77777777777778,0.0015783733195855875,1,0.23534947975780485,0,1
9114,"CHALLENGE",0,36.888888888888886,0.00014625986383397908,1,0.2303002047364454,0.1822916666666572,1
9148,"CHALLENGE",0,37.44444444444444,0.0027563608206456667,0,0.28600404019843706,0.705078125,1
9179,"CHALLENGE",0,33.888888888888886,0.004654045763803796,0,0.32188165484050274,1.1813151041666572,1
9210,"CHALLENGE",0,33.888888888888886,0.004419779894257801,0,0.3154057370654059,0,1
9234,"CHALLENGE",0,33.888888888888886,0.0022107181136284486,0,0.3230327282200655,0,1
9268,"CHALLENGE",0,33.333333333333336,0.001394196146402024,0,0.3041660971791292,0.8668619791666856,1
9303,"CHALLENGE",0,32.44444444444444,0.0018499302101437718,0,0.30683114784103616,1.4244791666666856,1
9327,"CHALLENGE",0,32.44444444444444,0.010532304094664876,0,0.3561957562827602,0,1
9362,"CHALLENGE",0,29.555555555555557,0.0009079713583398731,0,0.34325853431246034,2.533203125,1
9392,"CHALLENGE",0,32.666666666666664,0.010647151044446407,0,0.34015224800699667,0.7096354166666856,1
9425,"CHALLENGE",0,32.77777777777778,0.003201778730456958,0,0.3443546310486841,1.119140625,1
9451,"CHALLENGE",0,32.77777777777778,0.005173796237270865,0,0.3413020800901738,0,1
9474,"CHALLENGE",0,35.333333333333336,0.002208484522295162,0,0.3262278638646227,1.6240234375,1
9501,"CHALLENGE",0,31.666666666666668,0.01048474194282238,0,0.34905418038327235,0,1
9533,"CHALLENGE",0,32.333333333333336,0.0013738657089630332,0,0.3267395200581045,0.18131510416668561,1
9558,"CHALLENGE",0,32.333333333333336,0.0031341689645295718,0,0.33134891681249895,0,1
