type,id,condition,time
"START",0,"THREAT",22623
"END",0,,40376
"START",1,"CHALLENGE",47078
"END",1,,62753
"START",2,"CHALLENGE",67709
"END",2,,86312
"START",3,"NEUTRAL",96123
"END",3,,114651
"START",4,"THREAT",120433
"END",4,,138183
"START",5,"NEUTRAL",146507
"END",5,,165612
