t,c,b,roival,motion,blink,ear,exposure_fluc,quality
37194,"CHALLENGE",0,45.888888888888886,0.00013376048573134378,0,0.3371942529962479,0.04557291666665719,1
37223,"CHALLENGE",0,45.888888888888886,0.0003827312312201158,0,0.33666446581271803,0,1
37247,"CHALLENGE",0,45.888888888888886,0.0002974635232914273,0,0.33987585198264014,0,1
37280,"CHALLENGE",0,45.44444444444444,0.0001758318533234469,0,0.3431502537867048,0.0006510416666856145,1
37304,"CHALLENGE",0,46.22222222222222,0.0010948135413601206,0,0.33370770434783587,0.016927083333314386,1
37331,"CHALLENGE",0,46.22222222222222,0.0004913985711504518,0,0.3393262695905757,0,1
37361,"CHALLENGE",0,46,0.00018620525371065597,0,0.3429401721758436,0.07259114583331439,1
37384,"CHALLENGE",0,46,0.00019292027382270566,0,0.3403731154423509,0,1
37415,"CHALLENGE",0,46.22222222222222,0.00023991518130330976,0,0.3407441130862387,0.13248697916668561,1
37438,"CHALLENGE",0,46.22222222222222,0.0010619853781855787,0,0.34294509113019184,0,1
37460,"CHALLENGE",0,46.22222222222222,0.0010239172708538986,0,0.3332199181905864,0.08658854166665719,1
37480,"CHALLENGE",0,46.22222222222222,0.0011745282066164323,0,0.3366588647027763,0,1
37509,"CHALLENGE",0,46.55555555555556,0.00010320085967114707,0,0.34311682383045405,0.03287760416665719,1
37538,"CHALLENGE",0,46.666666666666664,0.0005995018489533397,0,0.3513721377415734,0.0869140625,1
37560,"CHALLENGE",0,46.55555555555556,0.0006491778065744317,0,0.3525318554215017,0.037760416666685614,1
37579,"CHALLENGE",0,46.55555555555556,0.0004684030052101104,0,0.3543744140292456,0,1
37600,"CHALLENGE",0,46.55555555555556,0.00038622062107858136,0,0.3513893591668446,0,1
37621,"CHALLENGE",0,46.888888888888886,0.000015370719318038182,0,0.35235521736125625,0.15852864583331439,1
37650,"CHALLENGE",0,46.888888888888886,0.0013388469357307423,0,0.3453118869228301,0,1
37673,"CHALLENGE",0,46.333333333333336,0.0008009983111673525,0,0.35177099578045934,0.029622395833342807,1
37697,"CHALLENGE",0,46.333333333333336,0.00021076209978009494,0,0.3527718876347018,0,1
37722,"CHALLENGE",0,45.77777777777778,0.0000962978846406505,0,0.35246379810672235,0.0869140625,1
37755,"CHALLENGE",0,46,0.00036454044813243026,0,0.34454524195395697,0.07421875,1
37780,"CHALLENGE",0,46,0.0015390988457008475,0,0.342538853840583,0,1
37811,"CHALLENGE",0,45.666666666666664,0.0002577989706262315,0,0.3494765096531441,0.1520182291666572,1
37835,"CHALLENGE",0,45.77777777777778,0.002471455273848036,0,0.34595461363865315,0.07356770833334281,1
37867,"CHALLENGE",0,45.22222222222222,0.0010623437436278339,0,0.3633779199134284,0.10123697916665719,1
37913,"CHALLENGE",0,45.888888888888886,0.0009232184748218922,0,0.35419864013068125,0.09375,1
37939,"CHALLENGE",0,45.888888888888886,0.0010795026900719434,0,0.3517087951774326,0,1
37974,"CHALLENGE",0,46,0.00020716569028932354,0,0.3546271713445221,0.1162109375,1
37996,"CHALLENGE",0,46,0.002612765869172983,0,0.353807800618802,0,1
38017,"CHALLENGE",0,46,0.0002991525353340742,0,0.35546977029705407,0,1
38041,"CHALLENGE",0,45,0.002537650136556099,0,0.3378670144941392,0.23209635416668561,1
38076,"CHALLENGE",0,45.44444444444444,0.00017325073047694625,0,0.3485799228017421,0.06901041666665719,1
