type,id,condition,time
"START",0,"CHALLENGE",47429
"END",0,,66414
"START",1,"THREAT",77099
"END",1,,95017
"START",2,"THREAT",99850
"END",2,,117568
"START",3,"CHALLENGE",126038
"END",3,,147422
"START",4,"NEUTRAL",153739
"END",4,,178498
"START",5,"NEUTRAL",184641
"END",5,,205039
