window_id,block_id,condition,start_time,end_time,frame_count,mean_roival,mean_motion,mean_ear,mean_quality,mean_exposure_fluc,mean_rt,accuracy,error_count,trial_count
"2545f30e-9725-4c64-a5a3-4ce99fa71457",0,"CHALLENGE",37194,47194,329,46.760216143194846,0.0011475357000025669,0.2877965824778593,1,0.09081041824974634,null,null,0,0
"ce6eaa21-464d-4426-9745-c2298a4acef7",0,"CHALLENGE",42194,52194,351,49.43558088002534,0.0008598895325668623,0.3101185125944551,1,0.03019738989791038,null,null,0,0
"9a0678a1-26db-4c08-87c8-c7f1643df96c",0,"CHALLENGE",47194,57194,396,49.136083052749754,0.0006886471810377472,0.3152195898794273,1,0.020021175294612555,null,null,0,0
"add311d7-b7c8-4e00-9299-5f40d48ec03f",0,"CHALLENGE",52194,62194,420,48.85661375661373,0.0006560626808606716,0.30035535268380015,1,0.022278025793650343,null,null,0,0
"9f7d3e87-04ed-4bbc-aaa1-f07a2b367e07",0,"CHALLENGE",57194,67194,417,48.890754063415955,0.0006270501853690285,0.3038108143450325,1,0.021156512290167594,null,null,0,0
"8c3a67e2-e392-4816-a532-88bbb4f3a3d1",0,"CHALLENGE",62194,72194,375,48.301629629629616,0.0006743685260834029,0.32756956812351884,1,0.022269965277778057,null,null,0,0
"b8fe023a-ae84-4386-a7d0-0949c1b0e885",1,"THREAT",67194,77194,345,47.11143317230279,0.0006563731005888212,0.34526042144273894,1,0.02475373641304315,null,null,0,0
"53fec666-51f1-47bf-9455-695a9c47f8eb",1,"THREAT",72194,82194,394,47.00451212633955,0.0008425498387496082,0.30190512313902096,1,0.02564509306260537,null,null,0,0
"368f0c37-fb5c-46e2-80fd-f56d4bcbbb24",1,"THREAT",77194,87194,435,47.44955300127713,0.0008848377168222663,0.2800837429872055,1,0.025077077346743252,null,null,0,0
"3f3602c0-c146-43d5-bf9e-f4682e5f198c",1,"THREAT",82194,92194,424,48.56315513626831,0.0006716259376402975,0.3003576668097667,1,0.022105474891902493,null,null,0,0
"90a22651-d59f-47cc-b5fd-986401c3449d",2,"THREAT",87194,97194,400,49.036666666666655,0.0005999669691167799,0.30836185065009747,1,0.020427246093749858,null,null,0,0
"51190bdb-298e-46f3-91ee-7a66dcc5bca1",2,"THREAT",92194,102194,387,47.409130060292874,0.0006612717090356982,0.3251916480889511,1,0.023230579780361242,null,null,0,0
"ac79cf50-8892-4a55-997c-a19342f350e6",2,"THREAT",97194,107194,417,46.50066613375966,0.0006850559964937039,0.324655086847684,1,0.022951950939247966,null,null,0,0
"dee019e4-87e0-4ed3-a3cb-fa1b90bd8847",2,"THREAT",102194,112194,436,47.708460754332286,0.0007774288709549023,0.3162737442537505,1,0.022660281680045545,null,null,0,0
"4d4e6f0c-8929-4b56-8302-2e16768c72fd",2,"THREAT",107194,117194,449,47.990843850532045,0.0007857119741266877,0.31431236367622245,1,0.021231353238678714,null,null,0,0
"e5bfad60-d548-40a8-ae06-dfdc589539d5",2,"THREAT",112194,122194,423,47.23456790123455,0.0006695811783424632,0.32287786159933574,1,0.01919110766351469,null,null,0,0
"e259db08-9939-433b-83e1-741bf559a309",3,"CHALLENGE",117194,127194,374,46.52525252525247,0.0008335294901544505,0.3372120753943285,1,0.021807284703653937,null,null,0,0
"b4ce9841-9414-4548-808e-2ec0bcc763e3",3,"CHALLENGE",122194,132194,431,45.82598607888637,0.0012329933792160404,0.29822420563571317,1,0.03357471722737826,null,null,0,0
"9f0eb745-f02c-4990-a6d8-08fd78af03f9",3,"CHALLENGE",127194,137194,481,45.83899283899285,0.0010504838772376647,0.28675323328655816,1,0.029975663764726462,null,null,0,0
"3c880fc2-2a59-455b-b49e-adc360f5e77e",3,"CHALLENGE",132194,142194,448,46.535962301587325,0.0006912799473243585,0.3106101982087143,1,0.016497657412574362,null,null,0,0
"240fbdb8-359b-4da0-b8e5-c99ec3dec98f",3,"CHALLENGE",137194,147194,453,46.9737552121658,0.0006869104750746486,0.32438670573409123,1,0.013768884519867424,null,null,0,0
"47154514-7e18-492f-99e4-5468c083c19d",3,"CHALLENGE",142194,152194,412,46.278586839266424,0.0007566574327801547,0.3357926036472256,1,0.01712460811084147,null,null,0,0
"0876775e-7172-4d02-9481-19d522711f04",4,"NEUTRAL",147194,157194,404,46.474697469747035,0.0009385195399162677,0.3259201236778037,1,0.027484755311469093,null,null,0,0
"8b5f0b46-2e6e-415a-a9da-adf2e39c2aa8",4,"NEUTRAL",152194,162194,481,47.311619311619346,0.0009952522512495336,0.30289984075453313,1,0.026407116250866586,null,null,0,0
"72cab697-2637-4de5-a88c-1804b1295804",4,"NEUTRAL",157194,167194,467,46.86366880799431,0.0008562987088006579,0.30596924489892663,1,0.020235964266595106,null,null,0,0
