type,id,condition,time
"START",0,"NEUTRAL",31088
"END",0,,47693
"START",1,"THREAT",51642
"END",1,,67955
"START",2,"CHALLENGE",71793
"END",2,,87973
"START",3,"THREAT",91626
"END",3,,110157
"START",4,"CHALLENGE",114778
"END",4,,143226
"START",5,"NEUTRAL",147860
"END",5,,170634
